repeat,X_hat,X,eval_set,centroid,nn
0,6,12,famous_le_100m,0.875,0.875
0,6,13,famous_le_10m,0.8,0.8
0,6,13,famous_le_100m,0.875,0.875
0,6,14,famous_le_10m,0.8,0.8
0,6,14,famous_le_100m,0.875,0.875
0,6,15,famous_le_10m,0.8,0.8
0,6,15,famous_le_100m,0.875,0.875
0,6,16,famous_le_10m,0.8,0.8
0,6,16,famous_le_100m,0.875,0.875
0,6,17,famous_le_10m,0.8,0.8
0,6,17,famous_le_100m,0.875,0.875
0,6,18,famous_le_10m,0.8,0.8
0,6,18,famous_le_100m,0.875,0.875
0,6,19,famous_le_10m,0.8,0.8
0,6,19,famous_le_100m,0.875,0.875
0,6,20,famous_le_10m,0.8,0.8
0,6,20,famous_le_100m,0.875,0.875
0,6,21,famous_le_10m,0.8,0.8
0,6,21,famous_le_100m,0.875,0.875
0,6,22,famous_le_10m,0.8,0.8
0,6,22,famous_le_100m,0.875,0.875
0,6,23,famous_le_10m,0.8,0.8
0,6,23,famous_le_100m,0.875,0.875
0,7,1,famous_le_10m,0.5,0.5
0,7,1,famous_le_100m,0.5,0.46875
0,7,2,famous_le_10m,0.5,0.5
0,7,2,famous_le_100m,0.5,0.46875
0,7,3,famous_le_10m,0.5,0.5
0,7,3,famous_le_100m,0.5,0.46875
0,7,4,famous_le_10m,0.5,0.5
0,7,4,famous_le_100m,0.5,0.53125
0,7,5,famous_le_10m,0.5,0.5
0,7,5,famous_le_100m,0.5,0.46875
0,7,6,famous_le_10m,0.9,0.9
0,7,6,famous_le_100m,0.65625,0.875
0,7,7,famous_le_10m,0.9,0.9
0,7,7,famous_le_100m,0.65625,0.8125
0,7,8,famous_le_10m,0.9,0.9
0,7,8,famous_le_100m,0.96875,0.9375
0,7,9,famous_le_10m,0.9,0.9
0,7,9,famous_le_100m,0.96875,0.9375
0,7,10,famous_le_10m,0.9,0.9
0,7,10,famous_le_100m,0.96875,0.9375
0,7,11,famous_le_10m,0.9,0.9
0,7,11,famous_le_100m,0.96875,0.9375
0,7,12,famous_le_10m,0.9,0.9
0,7,12,famous_le_100m,0.96875,0.9375
0,7,13,famous_le_10m,0.9,0.9
0,7,13,famous_le_100m,0.96875,0.9375
0,7,14,famous_le_10m,0.9,0.9
0,7,14,famous_le_100m,0.96875,0.9375
0,7,15,famous_le_10m,0.9,0.9
0,7,15,famous_le_100m,0.96875,0.9375
0,7,16,famous_le_10m,0.9,0.9
0,7,16,famous_le_100m,0.96875,0.9375
0,7,17,famous_le_10m,0.9,0.9
0,7,17,famous_le_100m,0.96875,0.9375
0,7,18,famous_le_10m,0.9,0.9
0,7,18,famous_le_100m,0.96875,0.9375
0,7,19,famous_le_10m,0.9,0.9
0,7,19,famous_le_100m,0.96875,0.9375
0,7,20,famous_le_10m,0.9,0.9
0,7,20,famous_le_100m,0.96875,0.9375
0,7,21,famous_le_10m,0.9,0.9
0,7,21,famous_le_100m,0.96875,0.9375
0,7,22,famous_le_10m,0.9,0.9
0,7,22,famous_le_100m,0.96875,0.9375
0,7,23,famous_le_10m,0.9,0.9
0,7,23,famous_le_100m,0.96875,0.9375
0,8,1,famous_le_10m,0.5,0.5
0,8,1,famous_le_100m,0.5,0.5
0,8,2,famous_le_10m,0.5,0.5
0,8,2,famous_le_100m,0.5,0.5
0,8,3,famous_le_10m,0.5,0.5
0,8,3,famous_le_100m,0.5,0.5
0,8,4,famous_le_10m,0.5,0.5
0,8,4,famous_le_100m,0.5,0.5
0,8,5,famous_le_10m,0.5,0.5
0,8,5,famous_le_100m,0.5,0.5
0,8,6,famous_le_10m,0.5,0.5
0,8,6,famous_le_100m,0.5,0.5
0,8,7,famous_le_10m,0.5,0.5
0,8,7,famous_le_100m,0.5,0.5
0,8,8,famous_le_10m,1.0,1.0
0,8,8,famous_le_100m,1.0,1.0
0,8,9,famous_le_10m,0.5,0.5
0,8,9,famous_le_100m,0.5,0.5
0,8,10,famous_le_10m,0.5,0.5
0,8,10,famous_le_100m,0.5,0.5
0,8,11,famous_le_10m,0.5,0.5
