repeat,baseline,X,accuracy,fold
20,KNeighborsClassifier,15,0.1276595744680851,20
21,KNeighborsClassifier,15,0.0638297872340425,21
22,KNeighborsClassifier,15,0.1304347826086956,22
23,KNeighborsClassifier,15,0.108695652173913,23
24,KNeighborsClassifier,15,0.0869565217391304,24
0,KNeighborsClassifier,16,0.0638297872340425,0
1,KNeighborsClassifier,16,0.1489361702127659,1
2,KNeighborsClassifier,16,0.0652173913043478,2
3,KNeighborsClassifier,16,0.1304347826086956,3
4,KNeighborsClassifier,16,0.0869565217391304,4
5,KNeighborsClassifier,16,0.1276595744680851,5
6,KNeighborsClassifier,16,0.1702127659574468,6
7,KNeighborsClassifier,16,0.1956521739130435,7
8,KNeighborsClassifier,16,0.1521739130434782,8
9,KNeighborsClassifier,16,0.1739130434782608,9
10,KNeighborsClassifier,16,0.2127659574468085,10
11,KNeighborsClassifier,16,0.0425531914893617,11
12,KNeighborsClassifier,16,0.0434782608695652,12
13,KNeighborsClassifier,16,0.1739130434782608,13
14,KNeighborsClassifier,16,0.0434782608695652,14
15,KNeighborsClassifier,16,0.1276595744680851,15
16,KNeighborsClassifier,16,0.1276595744680851,16
17,KNeighborsClassifier,16,0.1521739130434782,17
18,KNeighborsClassifier,16,0.2608695652173913,18
19,KNeighborsClassifier,16,0.1521739130434782,19
20,KNeighborsClassifier,16,0.1489361702127659,20
21,KNeighborsClassifier,16,0.1489361702127659,21
22,KNeighborsClassifier,16,0.1521739130434782,22
23,KNeighborsClassifier,16,0.1521739130434782,23
24,KNeighborsClassifier,16,0.1304347826086956,24
0,KNeighborsClassifier,17,0.0638297872340425,0
1,KNeighborsClassifier,17,0.2127659574468085,1
2,KNeighborsClassifier,17,0.0434782608695652,2
3,KNeighborsClassifier,17,0.1521739130434782,3
4,KNeighborsClassifier,17,0.0434782608695652,4
5,KNeighborsClassifier,17,0.1063829787234042,5
6,KNeighborsClassifier,17,0.1914893617021276,6
7,KNeighborsClassifier,17,0.1739130434782608,7
8,KNeighborsClassifier,17,0.108695652173913,8
9,KNeighborsClassifier,17,0.1739130434782608,9
10,KNeighborsClassifier,17,0.1702127659574468,10
11,KNeighborsClassifier,17,0.0638297872340425,11
12,KNeighborsClassifier,17,0.0217391304347826,12
13,KNeighborsClassifier,17,0.1521739130434782,13
14,KNeighborsClassifier,17,0.0434782608695652,14
15,KNeighborsClassifier,17,0.1276595744680851,15
