clf,acc,recall,precision,f1,ds_name,split_idx,n_splits,n_repeats,x,mz_name,payload,image_rep,normalize
XGBClassifier,0.1206896551724138,0.0603448275862069,0.5,0.1076923076923077,tiny-imagenet_resnet18_x3,3,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.1206896551724138,0.0603448275862069,0.5,0.1076923076923077,tiny-imagenet_resnet18_x4,3,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.1724137931034483,0.08620689655172414,0.5,0.14705882352941177,tiny-imagenet_resnet18_x5,3,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.2413793103448276,0.1206896551724138,0.5,0.19444444444444445,tiny-imagenet_resnet18_x6,3,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.21551724137931033,0.10775862068965517,0.5,0.1773049645390071,tiny-imagenet_resnet18_x7,3,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.22413793103448276,0.11206896551724138,0.5,0.18309859154929578,tiny-imagenet_resnet18_x8,3,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.19827586206896552,0.09913793103448276,0.5,0.16546762589928057,tiny-imagenet_resnet18_x9,3,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.3103448275862069,0.15517241379310345,0.5,0.23684210526315788,tiny-imagenet_resnet18_x10,3,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.4224137931034483,0.21120689655172414,0.5,0.296969696969697,tiny-imagenet_resnet18_x11,3,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.33620689655172414,0.16810344827586207,0.5,0.25161290322580643,tiny-imagenet_resnet18_x12,3,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.8706896551724138,0.4353448275862069,0.5,0.46543778801843316,tiny-imagenet_resnet18_x13,3,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.45689655172413796,0.22844827586206898,0.5,0.3136094674556213,tiny-imagenet_resnet18_x14,3,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.49137931034482757,0.24568965517241378,0.5,0.32947976878612717,tiny-imagenet_resnet18_x15,3,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.49137931034482757,0.24568965517241378,0.5,0.32947976878612717,tiny-imagenet_resnet18_x16,3,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.5,0.25,0.5,0.3333333333333333,tiny-imagenet_resnet18_x17,3,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
