image_rep,time,peak_memory,n_models,n_weights,run_i
s,0.0005440711975097656,783.953125,1000,1000,3
rgb,0.005304813385009766,786.765625,1000,1000,3
bb,0.04685330390930176,827.171875,1000,1000,3
phis,2.4648752212524414,838.109375,1000,1000,3
s,0.008764982223510742,912.53515625,1000,10000,3
rgb,0.052664995193481445,912.078125,1000,10000,3
bb,0.46260881423950195,1255.05078125,1000,10000,3
phis,17.202892541885376,1481.41015625,1000,10000,3
s,0.000293731689453125,772.9375,10000,10,3
rgb,0.0006885528564453125,773.09375,10000,10,3
bb,0.011139154434204102,781.6953125,10000,10,3
phis,9.68945598602295,789.0390625,10000,10,3
s,0.00057220458984375,789.0390625,10000,100,3
rgb,0.0048978328704833984,789.0390625,10000,100,3
bb,0.051421403884887695,825.796875,10000,100,3
phis,10.684040307998657,844.609375,10000,100,3
s,0.008964776992797852,922.8671875,10000,1000,3
rgb,0.06759381294250488,917.9921875,10000,1000,3
bb,0.48053956031799316,1258.96484375,10000,1000,3
phis,26.098342657089233,1470.578125,10000,1000,3
s,0.08354330062866211,1906.07421875,10000,10000,3
rgb,0.48583412170410156,1745.65234375,10000,10000,3
bb,4.671773910522461,5553.69921875,10000,10000,3
phis,172.86074256896973,7251.99609375,10000,10000,3
s,0.00017118453979492188,785.60546875,10,10,4
rgb,8.749961853027344e-05,785.60546875,10,10,4
bb,0.0001251697540283203,785.60546875,10,10,4
phis,0.012198209762573242,785.60546875,10,10,4
s,0.00018024444580078125,785.60546875,10,100,4
rgb,0.00019478797912597656,785.60546875,10,100,4
bb,0.0004279613494873047,785.60546875,10,100,4
phis,0.017931699752807617,785.60546875,10,100,4
s,0.00013875961303710938,785.60546875,10,1000,4
rgb,0.00017189979553222656,785.60546875,10,1000,4
bb,0.0008947849273681641,785.60546875,10,1000,4
phis,0.024941444396972656,785.60546875,10,1000,4
s,0.0002090930938720703,785.60546875,10,10000,4
rgb,0.0005252361297607422,785.60546875,10,10000,4
bb,0.007185697555541992,785.60546875,10,10000,4
phis,0.14520525932312012,785.60546875,10,10000,4
s,0.00018858909606933594,785.60546875,100,10,4
rgb,0.0003948211669921875,785.60546875,100,10,4
bb,0.0003097057342529297,785.60546875,100,10,4
