zoo,feature_type,lsb,clf,accuracy,recall,precision,f1,conf_mat
mnist,losses,13,RandomForest,0.3955,0.395,0.3953953953953954,0.3951975987993997,"[[396 604]
 [605 395]]"
mnist,losses,14,HistGradientBoosting,0.4065,0.408,0.4067796610169492,0.4073889166250624,"[[405 595]
 [592 408]]"
mnist,losses,14,GradientBoosting,0.449,0.42,0.445859872611465,0.4325437693099896,"[[478 522]
 [580 420]]"
mnist,losses,14,RandomForest,0.4045,0.401,0.4038267875125881,0.4024084295032614,"[[408 592]
 [599 401]]"
mnist,losses,15,HistGradientBoosting,0.4365,0.458,0.439117929050815,0.4483602545276554,"[[415 585]
 [542 458]]"
mnist,losses,15,GradientBoosting,0.4645,0.439,0.4625922023182297,0.4504874294510005,"[[490 510]
 [561 439]]"
mnist,losses,15,RandomForest,0.4755,0.48,0.4757185332011893,0.4778496764559482,"[[471 529]
 [520 480]]"
mnist,losses,16,HistGradientBoosting,0.4915,0.501,0.4916584887144259,0.4962852897473997,"[[482 518]
 [499 501]]"
mnist,losses,16,GradientBoosting,0.4905,0.44,0.489432703003337,0.4634017904160084,"[[541 459]
 [560 440]]"
mnist,losses,16,RandomForest,0.499,0.483,0.4989669421487603,0.4908536585365854,"[[515 485]
 [517 483]]"
mnist,losses,17,HistGradientBoosting,0.4565,0.431,0.4541622760800843,0.4422780913288866,"[[482 518]
 [569 431]]"
mnist,losses,17,GradientBoosting,0.4805,0.501,0.4812680115273775,0.4909358157765801,"[[460 540]
 [499 501]]"
mnist,losses,17,RandomForest,0.497,0.53,0.4971857410881801,0.5130687318489835,"[[464 536]
 [470 530]]"
mnist,losses,18,HistGradientBoosting,0.487,0.476,0.4867075664621677,0.4812942366026289,"[[498 502]
 [524 476]]"
mnist,losses,18,GradientBoosting,0.488,0.425,0.4862700228832952,0.4535752401280682,"[[551 449]
 [575 425]]"
mnist,losses,18,RandomForest,0.4895,0.489,0.4894894894894895,0.4892446223111555,"[[490 510]
 [511 489]]"
mnist,losses,19,HistGradientBoosting,0.4825,0.447,0.4811625403659849,0.463452566096423,"[[518 482]
 [553 447]]"
mnist,losses,19,GradientBoosting,0.4755,0.383,0.4699386503067485,0.422038567493113,"[[568 432]
 [617 383]]"
