repeat,baseline,X,accuracy
5,byte_autocorr,20,1.0
5,byte_autocorr,21,0.7625
5,byte_autocorr,22,0.879
5,byte_autocorr,23,0.8160000000000001
6,byte_entropy,1,0.496
6,byte_entropy,2,0.58
6,byte_entropy,3,0.982
6,byte_entropy,4,1.0
6,byte_entropy,5,1.0
6,byte_entropy,6,1.0
6,byte_entropy,7,1.0
6,byte_entropy,8,1.0
6,byte_entropy,9,1.0
6,byte_entropy,10,1.0
6,byte_entropy,11,1.0
6,byte_entropy,12,1.0
6,byte_entropy,13,1.0
6,byte_entropy,14,1.0
6,byte_entropy,15,1.0
6,byte_entropy,16,1.0
6,byte_entropy,17,1.0
6,byte_entropy,18,1.0
6,byte_entropy,19,1.0
6,byte_entropy,20,1.0
6,byte_entropy,21,1.0
6,byte_entropy,22,1.0
6,byte_entropy,23,1.0
6,histogram_kl,1,0.51
6,histogram_kl,2,0.8125
6,histogram_kl,3,1.0
6,histogram_kl,4,1.0
6,histogram_kl,5,1.0
6,histogram_kl,6,1.0
6,histogram_kl,7,1.0
6,histogram_kl,8,1.0
6,histogram_kl,9,1.0
6,histogram_kl,10,1.0
6,histogram_kl,11,1.0
6,histogram_kl,12,1.0
6,histogram_kl,13,1.0
6,histogram_kl,14,1.0
6,histogram_kl,15,1.0
6,histogram_kl,16,1.0
6,histogram_kl,17,1.0
6,histogram_kl,18,1.0
6,histogram_kl,19,1.0
6,histogram_kl,20,1.0
6,histogram_kl,21,1.0
6,histogram_kl,22,1.0
6,histogram_kl,23,1.0
6,weight_value_dist,1,0.5
6,weight_value_dist,2,0.5
6,weight_value_dist,3,0.5
6,weight_value_dist,4,0.5
6,weight_value_dist,5,0.5
6,weight_value_dist,6,0.5
6,weight_value_dist,7,0.5
6,weight_value_dist,8,0.5
6,weight_value_dist,9,0.5
6,weight_value_dist,10,0.5
6,weight_value_dist,11,0.5
6,weight_value_dist,12,0.5025000000000001
6,weight_value_dist,13,0.5015000000000001
6,weight_value_dist,14,0.501
6,weight_value_dist,15,0.5045
6,weight_value_dist,16,0.4965
6,weight_value_dist,17,0.498
6,weight_value_dist,18,0.503
6,weight_value_dist,19,0.502
6,weight_value_dist,20,0.562
6,weight_value_dist,21,0.725
6,weight_value_dist,22,0.991
6,weight_value_dist,23,0.9995
6,byte_autocorr,1,0.501
6,byte_autocorr,2,0.499
6,byte_autocorr,3,0.4984999999999999
6,byte_autocorr,4,0.5005
6,byte_autocorr,5,0.4985
6,byte_autocorr,6,0.515
6,byte_autocorr,7,0.6565
6,byte_autocorr,8,1.0
6,byte_autocorr,9,0.999
6,byte_autocorr,10,0.9845
6,byte_autocorr,11,0.95
6,byte_autocorr,12,0.993
6,byte_autocorr,13,0.9945
6,byte_autocorr,14,0.8525
6,byte_autocorr,15,1.0
6,byte_autocorr,16,1.0
6,byte_autocorr,17,0.7030000000000001
6,byte_autocorr,18,1.0
6,byte_autocorr,19,0.9985
6,byte_autocorr,20,1.0
6,byte_autocorr,21,0.7645
6,byte_autocorr,22,0.878
6,byte_autocorr,23,0.8069999999999999
7,byte_entropy,1,0.4955
7,byte_entropy,2,0.5795
7,byte_entropy,3,0.98
7,byte_entropy,4,1.0
7,byte_entropy,5,1.0
7,byte_entropy,6,1.0
7,byte_entropy,7,1.0
7,byte_entropy,8,1.0
7,byte_entropy,9,1.0
7,byte_entropy,10,1.0
7,byte_entropy,11,1.0
7,byte_entropy,12,1.0
7,byte_entropy,13,1.0
7,byte_entropy,14,1.0
7,byte_entropy,15,1.0
7,byte_entropy,16,1.0
7,byte_entropy,17,1.0
7,byte_entropy,18,1.0
7,byte_entropy,19,1.0
7,byte_entropy,20,1.0
7,byte_entropy,21,1.0
7,byte_entropy,22,1.0
7,byte_entropy,23,1.0
7,histogram_kl,1,0.5105
7,histogram_kl,2,0.8105
7,histogram_kl,3,1.0
7,histogram_kl,4,1.0
7,histogram_kl,5,1.0
7,histogram_kl,6,1.0
7,histogram_kl,7,1.0
7,histogram_kl,8,1.0
7,histogram_kl,9,1.0
7,histogram_kl,10,1.0
7,histogram_kl,11,1.0
7,histogram_kl,12,1.0
7,histogram_kl,13,1.0
7,histogram_kl,14,1.0
7,histogram_kl,15,1.0
