run num,mc,lsb,test_acc_centroid,test_acc_nn,model_lsb
13,famous_le_10m,9,1.0,1.0,10
13,famous_le_10m,10,1.0,1.0,10
13,famous_le_10m,11,1.0,1.0,10
13,famous_le_10m,12,1.0,1.0,10
13,famous_le_10m,13,1.0,1.0,10
13,famous_le_10m,14,1.0,1.0,10
13,famous_le_10m,15,1.0,1.0,10
13,famous_le_10m,16,1.0,1.0,10
13,famous_le_10m,17,1.0,1.0,10
13,famous_le_10m,18,1.0,1.0,10
13,famous_le_10m,19,1.0,1.0,10
13,famous_le_10m,20,1.0,1.0,10
13,famous_le_10m,21,1.0,1.0,10
13,famous_le_10m,22,1.0,1.0,10
13,famous_le_10m,23,1.0,1.0,10
13,famous_le_100m,0,1.0,1.0,10
13,famous_le_100m,1,0.0,0.0,10
13,famous_le_100m,2,0.0,0.0,10
